categorie;structure;etablissement;handicaps;handicap_mental;handicap_auditif;handicap_visuel;handicap_moteur;siteweb;telephone;fax;label;departement;ville;code_postal;adresse;adresseadmin;emailcontact;lat;lng;wgs84
Chambre d'hôtes;Chambre d'hôtes;Chambres d'hôtes La Rambaudière;"auditif ; visuel ; moteur ; mental";Oui;Oui;Oui;Oui;http://www.la-raimbaudiere.com;01 69 90 28 44;;Gîtes de France;Essonne;GUIGNEVILLE;91590;49 Grande Rue de Milly hameau de Jouy;;laraimbaudiere@gmail.com;48.454008;2.361501;48.454008, 2.361501
Lieu de visite;Patrimoine;Conservatoire National des Plantes;"auditif ; mental";Oui;Oui;Non;Non;http://www.cnpmai.net;01 64 98 83 77;01 64 98 88 63;;Essonne;MILLY LA FORÊT;91490;Route de Nemours;;cnpmai@wanadoo.fr;48.3978304;2.4814409;48.3978304, 2.4814409
Loisirs;Loisirs;Une Journée Au Cirque;mental;Oui;Non;Non;Non;http://www.journeeaucirque.com;01 47 99 40 40;01 47 99 02 22;;Hauts-de-Seine;VILLEUNEUVE LA GARENNE;92390;Parc des Chanteraines 115 bd Charles de Gaulle;;journeeaucirque@hotmail.fr;48.906535;2.244085;48.906535, 2.244085
Lieu de visite;Patrimoine;Musée de l'Air et de l'Espace;"moteur ; mental";Oui;Non;Non;Oui;http://www.museedelair.org;01 49 92 70 00;01 49 92 70 95;;Seine-Saint-Denis;LE BOURGET;93352;Aéroport de Paris Le Bourget BP 173;;catherine.maunoury@museeairespace.fr;48.936752;2.425377;48.936752, 2.425377
Hôtel;Hôtel;Hôtel Ibis Noisy Le Grand;mental;Oui;Non;Non;Non;http://www.ibis.hotel.com;01 43 05 20 20;01 43 03 41 10;;Seine-Saint-Denis;NOISY LE GRAND;93160;4 allée Bienvenue;;H1545-gm@accor.com;48.8380376;2.5417816;48.8380376, 2.5417816
Restaurant;Restauration;Restaurant l'Amphitryon;"auditif ; mental";Oui;Oui;Non;Non;http://www.amphitryon.over-blog.com;01 43 04 68 00;01 43 04 68 10;;Seine-Saint-Denis;NOISY LE GRAND;93160;56 avenue Aristide Briand;;nicole.guerineau@wanadoo.fr;48.8465394;2.5529922;48.8465394, 2.5529922
Structure diverse;Structure diverse;Stade de France;"moteur ; mental";Oui;Non;Non;Oui;http://www.stadefrance.fr;01 55 93 23 21;01 55 93 00 03;;Seine-Saint-Denis;SAINT DENIS LA PLAINE CEDEX;93216;;;p.wurz@csdf.com.fr;48.9202276;2.3617533;48.9202276, 2.3617533
Meublé de tourisme;Meublé de tourisme;Gite de M. Erwan Abbé;"auditif ; mental";Oui;Oui;Non;Non;http://www.gitehandicapjoinvil.free.fr;06 66 67 73 54;;;Val-de-Marne;JOINVILLE LE PONT;94340;50 rue de Paris;;gitehandicapjoinvil@free.fr;48.8164167;2.4685392;48.8164167, 2.4685392
Restaurant;Restauration;Guinguette Auvergnate;"auditif ; visuel ; moteur ; mental";Oui;Oui;Oui;Oui;http://www.guinguette-auvergnate.fr;01 43 89 04 64;01 43 89 82 17;;Val-de-Marne;VILLENEUVE SAINT GEORGES;94190;19 avenue de Choisy;;contact@guinguette-auvergnate.fr;48.746041;2.4374223;48.746041, 2.4374223
Restaurant;Restauration;Restaurant Sous le Porche;"auditif ; mental";Oui;Oui;Non;Non;http://www.sousleporche.com;01 30 36 16 50;;;Val-d'Oise;AUVERS SUR OISE;95430;Place de la Mairie;;contact@sousleporche.com;49.070075;2.1721394;49.070075, 2.1721394
Meublé de tourisme;Meublé de tourisme;Gite des Trois Forêts;"auditif ; moteur ; mental";Oui;Oui;Non;Oui;"http://www;clevacances.com";01 34 08 78 83;;Clévacances;Val-d'Oise;BAILLET-EN-FRANCE;95560;34 rue Jean Nicolas;;robert.dequaire@wanadoo.fr;49.0614632;2.2983116;49.0614632, 2.2983116
Loisirs;Loisirs;Base de Loisirs de Cergy Neuville - hébergement;"auditif ; mental";Oui;Oui;Non;Non;http://www.basedeloisirs95.com;01 30 30 21 55;01 30 30 87 95;;Val-d'Oise;CERGY PONTOISE;95000;Rue de l'Etang;;contact@basedeloisirs.com;49.0391497;2.0750508;49.0391497, 2.0750508
Meublé de tourisme;Meublé de tourisme;Gîte de Mr.et Me Prêcheur;"auditif ; mental";Oui;Oui;Non;Non;http://www.gite-courdimanche.fr.nf;01 34 46 95 54;;Gîtes de France;Val-d'Oise;COURDIMANCHE;95800;5 rue André Parrain;;gite.courdimanche@wanadoo.fr;49.0344302;2.0019142;49.0344302, 2.0019142
Lieu de visite;Patrimoine;Musée du Louvre;"auditif ; mental";Oui;Oui;Non;Non;http://http://www.louvre.fr;01 40 20 53 17;01 40 20 54 52;;Paris;PARIS CEDEX 01;75058;Direction des publics 162, rue de Rivoli;;info@louvre.fr;48.8614618;2.3394854;48.8614618, 2.3394854
Lieu de visite;Patrimoine;Chapelle Expiatoire;auditif;Non;Oui;Non;Non;http://www.monuments-nationaux.fr;01 44 32 18 04;01 44 07 32 23;;Paris;PARIS;75008;29 rue Pasquier;;;48.8737426;2.3236818;48.8737426, 2.3236818
Hôtel;Hôtel;Ibis Gare du Nord Lafayette;mental;Oui;Non;Non;Non;http://www.ibishotel.com;01 45 23 27 27;01 42 46 73 79;;Paris;PARIS;75010;122 rue Lafayette;;h0863@accor.com;48.8781255;2.3525887;48.8781255, 2.3525887
Loisirs;Loisirs;Bercy Village;"auditif ; moteur";Non;Oui;Non;Oui;http://www.bercyvillage.com;01 40 02 90 84;01 40 02 90 83;;Paris;PARIS;75012;28 rue François Truffault;;presse@bercyvillage.com;48.8332858;2.3860384;48.8332858, 2.3860384
Lieu de visite;Culturel;Bibliothèque Nationale de France;auditif;Non;Oui;Non;Non;http://www.bnf.fr;01 53 79 59 31;01 53 79 40 40;;Paris;PARIS CEDEX;75013;Quai François Mauriac;;accueil.handicap@bnf.fr;48.8341379;2.377319;48.8341379, 2.377319
Restaurant;Restauration;Restaurant Cacio…e Peppe;"auditif ; mental";Oui;Oui;Non;Non;;01 45 87 37 00;01 45 87 37 00;;Paris;PARIS;75013;18 rue Vulpian;;antichisapori@wanadoo.fr;48.8315504;2.3463219;48.8315504, 2.3463219
Lieu de visite;Site pédagogique;Cité des Sciences et de l'Industrie;"auditif ; visuel ; moteur ; mental";Oui;Oui;Oui;Oui;http://www.cite-sciences.fr;01 40 05 85 20;01 40 05 82 22;;Paris;PARIS;75019;La Villette 30 rue Corentin Cariou;;ml.lasvergnas@cite-sciences.fr;48.895985;2.387059;48.895985, 2.387059
Résidence de tourisme;Résidence de tourisme;Résidence Internationale de Paris;"auditif ; moteur ; mental";Oui;Oui;Non;Oui;http://http://www.ee-rip.fr;01 40 31 45 45;01 40 31 45 67;Ethic Etapes;Paris;PARIS;75020;44 rue Louis Lumière;;info@ee-rip.com;48.8602645;2.4114619;48.8602645, 2.4114619
Lieu de visite;Patrimoine;Musée des Peintres de Barbizon;"auditif ; mental";Oui;Oui;Non;Non;http://www.cg77.fr;01 60 66 22 27;01 60 66 22 96;;Seine-et-Marne;BARBIZON;77630;92 Grande Rue;;barbizon@cg77.fr;48.4461323;2.6025142;48.4461323, 2.6025142
Meublé de tourisme;Meublé de tourisme;Gîtes ruraux n°317 et 318;"auditif ; visuel ; moteur ; mental";Oui;Oui;Oui;Oui;http://www.audomelia.com;"0164012282 ; 0611010136";;Gîtes de France;Seine-et-Marne;CERNEUX;77320;Ferme de Monglat;;philippe.dominique4@wanadoo.fr;48.693545;3.344795;48.693545, 3.344795
Meublé de tourisme;Meublé de tourisme;Gîte rural Ferme de la Mercy;"auditif ; moteur ; mental";Oui;Oui;Non;Oui;http://perso.wanadoo.fr/fermedelamercy;01 64 00 93 10;01 64 00 93 10;Gîtes de France;Seine-et-Marne;CHENOISE;77160;Ferme de la Mercy;;fermedelamercy@wanadoo.fr;48.6086522;3.158805;48.6086522, 3.158805
Lieu de visite;Patrimoine;Commanderie des Templiers;"auditif ; mental";Oui;Oui;Non;Non;http://www.commanderie-templiers.fr;01 64 65 08 61;01 64 65 04 80;;Seine-et-Marne;COULOMMIERS;77120;;;commanderie.templiers@wanadoo.fr;48.823814;3.094651;48.823814, 3.094651
Hôtel;Hôtel;Hôtel restaurant Le Sauvage;"auditif ; mental";Oui;Oui;Non;Non;http://www.hotel-du-sauvage.com;01 64 04 00 19;01 64 04 02 50;;Seine-et-Marne;LA FERTÉ GAUCHER;77320;27 rue de Paris;;info@hotel-du-sauvage.com;48.7807692;3.3050276;48.7807692, 3.3050276
Hôtel;Hôtel;Hôtel Kyriad Val de France;"auditif ; moteur ; mental";Oui;Oui;Non;Oui;http://www.kyriad.fr;01 60 43 61 61;01 60 43 61 63;;Seine-et-Marne;MAGNY LE HONGRE;77700;10 avenue de la Fosse des Pressoirs;;valdefrance@kyriad.fr;48.8708797;2.8094202;48.8708797, 2.8094202
Hôtel;Hôtel;Hostellerie Aux Vieux Remparts;mental;Oui;Non;Non;Non;http://www.auxvieuxremparts.com;01 64 08 94 00;01 60 67 77 22;Relais du silence;Seine-et-Marne;PROVINS;77160;3 rue Couverte;;info@auxvieuxremparts.com;48.5625578;3.2873336;48.5625578, 3.2873336
Activités sportives de pleine nature;Activité de plein air;Jardin La Roseraie de Provins;"auditif ; visuel ; moteur ; mental";Oui;Oui;Oui;Oui;http://www.roseraie-provins.com;01 60 58 05 78;01 60 58 05 78;;Seine-et-Marne;PROVINS;77160;11 rue des Près;;laroseraiedeprovins@gmail.com;48.5645949;3.2945216;48.5645949, 3.2945216
Lieu de visite;Gastronomie;Fromagerie de la Brie;mental;Oui;Non;Non;Non;;01 64 20 40 09;01 64 20 41 21;;Seine-et-Marne;SAINT RÉMY DE LA VANNE;77320;Les Fonds de Barlonge;;fromabrie@wanadoo.fr;48.8012609;3.2230676;48.8012609, 3.2230676
Hôtel;Hôtel;Hôtel Elysée Val d'Europe;mental;Oui;Non;Non;Non;http://www.hotelelysee.com;01 64 63 33 33;01 64 63 33 30;;Seine-et-Marne;SERRIS;77700;7 cours du Danube;;info@hotelelysee.com;48.855451;2.7754869;48.855451, 2.7754869
Meublé de tourisme;Meublé de tourisme;Gite rural n°255;"auditif ; moteur ; mental";Oui;Oui;Non;Oui;;01 64 28 13 04;331 64 28 13 04;Gîtes de France;Seine-et-Marne;SOUPPES-SUR-LOING;77460;Ferme de Beaumoulin La Madeleine sur Loing;;duflocqs@yahoo.fr;48.183625;2.733178;48.183625, 2.733178
Restaurant;Restauration;Restaurant La Table Saint Just;"auditif ; visuel ; moteur ; mental";Oui;Oui;Oui;Oui;http://www.restaurant-latablesaintjust.com;01 64 52 09 09;;;Seine-et-Marne;VAUX LE PENIL;77000;11 rue de la Libération;;latablesaintjust@free.fr;48.5329272;2.6722215;48.5329272, 2.6722215
Lieu de visite;Patrimoine;Château de Breteuil;mental;Oui;Non;Non;Non;http://www.breteuil.fr;01 30 52 05 02;01 30 52 71 10;;Yvelines;CHEVREUSE;78460;Choisel;;contact@breteuil.fr;48.673605;2.0220779;48.673605, 2.0220779
Restaurant;Restauration;Auberge restaurant de l'Elan;"auditif ; visuel ; mental";Oui;Oui;Oui;Non;http://www.laubergedelelan-78.com;0 1 85 15 55;01 34 85 15 55;;Yvelines;LA CELLE-LES-BORDES;78720;5 rue du village Les Bordes;;aubergelan@wanadoo.fr;48.6423898;1.9656839;48.6423898, 1.9656839
Lieu de visite;Site pédagogique;La Bergerie Nationale;"auditif ; mental";Oui;Oui;Non;Non;http://www.bergerie-nationale.educagri.fr;01 61 08 68 41;;;Yvelines;RAMBOUILLET;78120;Parc du Château;;"vincent.daniel@educagri.fr;frederic.drieux@educagri.fr";48.643868;1.829079;48.643868, 1.829079
Lieu de visite;Site pédagogique;Espace Rambouillet;"auditif ; mental";Oui;Oui;Non;Non;http://www.onf.fr/espaceramb/;01 34 83 05 00;01 34 83 67 34;;Yvelines;RAMBOUILLET;78120;3 rue de Groussay;;philippe.belchi@onf.fr;48.6517746;1.8178886;48.6517746, 1.8178886
Activités sportives de pleine nature;Activité de plein air;ONF - Sentier de l'Etoile de Beaumont;"auditif ; moteur ; mental";Oui;Oui;Non;Oui;;01 30 84 11 40;;;Yvelines;SAINT GERMAIN EN LAYE;78100;Route Forestière des Princesses;27 Rue Edouard Charton, 78000 VERSAILLES;;48.898908;2.093761;48.898908, 2.093761
Meublé de tourisme;Meublé de tourisme;Gîte de Greffiers;"auditif ; moteur ; mental";Oui;Oui;Non;Oui;http://www.gites78.com;0130410110 / 0614360187;01 34 85 87 48;Gîtes de France;Yvelines;SONCHAMP;78120;56 rue de la Droue;;gitedegreffiers@gmail.com;48.614117;1.8405011;48.614117, 1.8405011
Chambre d'hôtes;Chambre d'hôtes;Chambres d'Hôtes La Grange aux Grains;"auditif ; mental";Oui;Oui;Non;Non;;01 64 95 67 22;01 64 95 67 22;;Essonne;FONTAINE LA RIVIÈRE;91696;1 rue des Vignes;;yvonnedanielgatineau@orange.fr;48.3572093;2.1534396;48.3572093, 2.1534396
Lieu de visite;Culturel;Centre d'Arts Plastiques Albert Chanot;mental;Oui;Non;Non;Non;http://www.centreartchanot.com;01 47 36 05 89;01 47 36 05 89;;Hauts-de-Seine;CLAMART;92140;33 rue Brissard;;centreartchanot@clamart.fr;48.8123953;2.2661799;48.8123953, 2.2661799
Hôtel;Hôtel;Hôtel IBIS Paris la Défense-Courbevoie;moteur;Non;Non;Non;Oui;http://www.accor.com;01 49 97 05 50;01 49 97 07 17;;Hauts-de-Seine;COURBEVOIE;92400;39 quai du Président Paul Doumer;;h3296@accor.com;48.8934566;2.2599364;48.8934566, 2.2599364
Activités sportives de pleine nature;Activité de plein air;Sentier accessible des Treize Ponts ONF;"auditif ; visuel ; moteur ; mental";Oui;Oui;Oui;Oui;http://www.onf.fr/ile-de-France-nord-ouest;01 30 84 11 40;01 39 02 15 24;;Hauts-de-Seine;MEUDON;92360;Carrefour de l'Etoile;ONF  Agent Interdépartemental de Versailles 27 rue Edouard Charton 78000 Versailles;gilles.boncori@onf.fr;48.7932425;2.2216448;48.7932425, 2.2216448
Hôtel;Hôtel;Hôtel Ibis Pont de Suresnes;mental;Oui;Non;Non;Non;http://www.ibishotel.com;01 45 06 44 88;01 46 97 08 37;;Hauts-de-Seine;SURESNES;92150;6 rue des Bourets;;h0716-gm@accor.com;48.868388;2.2271713;48.868388, 2.2271713
Hôtel;Hôtel;Hôtel Ibis Eglise Pantin;mental;Oui;Non;Non;Non;http://www.ibishotel.com;01 48 10 67 00;01 48 10 67 01;;Seine-Saint-Denis;PANTIN;93500;153 avenue Jean Lolive ZAC de l'Eglise;;h2082-gm@accor.com;48.894533;2.40963;48.894533, 2.40963
Lieu de visite;Patrimoine;Basilique Saint Denis;"moteur ; mental";Oui;Non;Non;Oui;http://www.monum.fr;01 48 09 83 54;01 48 09 83 66;;Seine-Saint-Denis;SAINT DENIS;93200;1 rue de la Légion d'Honneur;Centre des Monuments Nationaux - 22 avenue Victoria -75001 Paris;;48.934784;2.3581628;48.934784, 2.3581628
Chambre d'hôtes;Chambre d'hôtes;Chambres d'hôtes de Me Bernard;"auditif ; mental";Oui;Oui;Non;Non;http://www..lejardindaristide.fr;06 67 70 87 54;;Clévacances;Val-de-Marne;CHAMPIGNY SUR MARNE;94500;133 bd Aristide Briand;;contact@lejardindaristide.fr;48.8224763;2.5009136;48.8224763, 2.5009136
Restaurant;Restauration;Guinguette du Martin Pêcheur;"auditif ; visuel ; moteur ; mental";Oui;Oui;Oui;Oui;http://www.guinguette.fr;01 49 83 03 02;;;Val-de-Marne;CHAMPIGNY SUR MARNE;94500;41 quai Victor Hugo;;martin-pecheur@guinguette.fr;48.8110892;2.5046394;48.8110892, 2.5046394
Lieu de visite;Culturel;Centre culturel Pompidou;"auditif ; moteur ; mental";Oui;Oui;Non;Oui;"http://www.vincennes;fr";01 43 98 65 00;;;Val-de-Marne;VINCENNES;94300;142 rue de Fontenay;;carbanou@vincennes.fr;48.848371;2.4360785;48.848371, 2.4360785
Meublé de tourisme;Meublé de tourisme;Gîte Les Ecuries d'Auvers;"moteur ; mental";Oui;Non;Non;Oui;http://www.giteauvers.com;06 84 81 67 52;;Gîtes de France;Val-d'Oise;AUVERS SUR OISE;95430;5 bis rue de la Bourgogne;;gite@giteauvers.com;49.0682028;2.1700811;49.0682028, 2.1700811
Restaurant;Restauration;Restaurant Hippopotamus;"visuel ; moteur ; mental";Oui;Non;Oui;Oui;http://www.hippopotamus.fr;"0134441240 ; 0607871332";01 34 44 12 41;;Val-d'Oise;FRANCONVILLE CEDEX;95131;326 rue du Général Leclerc BP 20010;;praguin@aol.com;48.9878917;2.2097089;48.9878917, 2.2097089
Restaurant;Restauration;Restaurant Tablapizza;moteur;Non;Non;Non;Oui;http://www.tablapizza.com;01 34 14 23 93;01 34 14 28 91;;Val-d'Oise;FRANCONVILLE CEDEX;95132;326 rue du Général Leclerc BP 200045;;;48.9878917;2.2097089;48.9878917, 2.2097089
Lieu de visite;Patrimoine;Musée d'Archéologie Archéa;"auditif ; moteur ; mental";Oui;Oui;Non;Oui;http://www.archea-roissyportedefrance.fr;01 34 09 01 02;;;Val-d'Oise;LOUVRES;95380;56 rue de Paris;;archea-info@roissy-online.com;49.041119;2.5068935;49.041119, 2.5068935
Chambre d'hôtes;Chambre d'hôtes;Chambre d'hôtes Chez Ciné;"auditif ; moteur ; mental";Oui;Oui;Non;Oui;http://www.chezcine.fr;01 39 81 84 11;;Clévacances;Val-d'Oise;SANNOIS;95110;8 rue de Cernay;;francine@chezcine.fr;48.9754533;2.2500059;48.9754533, 2.2500059
Lieu de visite;Patrimoine;Musée d'Art et d'Histoire du Judaïsme;auditif;Non;Oui;Non;Non;http://www.mahj.org;01 53 01 86 56;01 53 01 86 63;;Paris;PARIS;75003;Hôtel de Saint Aignan 71 rue du Temple;;mpbera@mahj.org;48.8609729;2.355602;48.8609729, 2.355602
Lieu de visite;Patrimoine;Musée des Arts et Métiers;auditif;Non;Oui;Non;Non;http://www.arts-et-metiers.net;01 53 01 82 89;01 53 01 82 34;;Paris;PARIS;75141;291 rue Saint Martin;;sicka.yamajako@cnam.fr;48.8672816;2.3545928;48.8672816, 2.3545928
Lieu de visite;Patrimoine;Museum National d'Histoire Naturelle la Grande Galerie de l'Evolution;"auditif ; moteur ; mental";Oui;Oui;Non;Oui;http://www.mnhn.fr;01 40 79 30 00;;;Paris;PARIS;75005;57 rue Cuvier;;coulon@mnhn.fr;48.8441224;2.3556151;48.8441224, 2.3556151
Lieu de visite;Patrimoine;Hôtel de Nantes;mental;Oui;Non;Non;Non;http://lhoteldenantes.fr;01 45 48 75 64;01 42 84 00 57;;Paris;PARIS;75006;33 bd du Montparnasse;;hoteldenantes@wanadoo.fr;48.8450598;2.3209521;48.8450598, 2.3209521
Lieu de visite;Patrimoine;Musée Rodin;mental;Oui;Non;Non;Non;http://www.musee-rodin.fr;01 44 18 61 85;01 44 18 61 89;;Paris;PARIS;75007;79 rue de Varenne;;bouillo@musee-rodin.fr;48.8559411;2.3158073;48.8559411, 2.3158073
Lieu de visite;Patrimoine;Musée du Quai Branly;"auditif ; moteur ; mental";Oui;Oui;Non;Oui;http://www.quaibranly.fr/ et http://wwwquaibranly.fr/fr/accessibilite/index.htlm;"0156615318 (LD Me Harmel) ; 0611818092 (Dominique Baudry)";01 56 61 71 33;;Paris;PARIS;75007;37 quai Branly;222 rue de l'Université - 75343 Paris cedex 07;delphine.harmel@quaibranly.fr et dbu@quaibranly.fr;48.861899;2.297441;48.861899, 2.297441
Loisirs;Structure diverse;Salle de spectacle Le Zèbre de Belleville;"moteur ; mental";Oui;Non;Non;Oui;http://www.lezebre.com;01 43 55 55 55;331 43 55 55 90;;Paris;PARIS;75011;61-63 bd de Belleville;;info@lezebre.com;48.8701947;2.3787852;48.8701947, 2.3787852
Restaurant;Restauration;Café Signes;"auditif ; mental";Oui;Oui;Non;Non;http://www.cafesignes.com;"0145393740 ;0632438838";;;Paris;PARIS;75014;33 avenue Jean Moulin;;mlp75@wanadoo.fr;48.8259069;2.3226883;48.8259069, 2.3226883
Hôtel;Hôtel;Etap Hôtel Porte de Montmartre;"moteur ; mental";Oui;Non;Non;Oui;http://www.etaphotel.com;01 49 21 90 80;01 49 21 90 99;;Paris;PARIS;75018;45 rue du Docteur Babinsky;;h2539@accor.com;48.9011107;2.3350086;48.9011107, 2.3350086
Loisirs;Loisirs;Cinéma Le Renaissance;"moteur ; mental";Oui;Non;Non;Oui;;33(0) 975769812;09 75 76 98 12;;Seine-et-Marne;BRAY SUR SEINE;77480;16 rue de l'Eglise;;assolerenaissance@wanadoo.fr;48.4154339;3.2376596;48.4154339, 3.2376596
Office de tourisme;Espace d'information;Office de Tourisme de Marne et Chantereine;"auditif ; visuel ; moteur ; mental";Oui;Oui;Oui;Oui;http://www.tourisme-marne-chantereine.fr;01 64 21 27 99;01 64 21 28 53;;Seine-et-Marne;Chelles;77500;51bis avenue de la Résistance;;officedetourisme@marne-chantereine.fr;48.8760259;2.5840973;48.8760259, 2.5840973
Lieu de visite;Patrimoine;Musée Louis Braille;mental;Oui;Non;Non;Non;;01 60 04 82 80;01 60 04 82 80;;Seine-et-Marne;COUPVRAY;77700;13 rue Louis Braille;;museebraille@wanadoo.fr;48.8945622;2.7920612;48.8945622, 2.7920612
Hôtel;Hôtel;Hôtel Clarion;mental;Oui;Non;Non;Non;http://www..clarionsenart-paris.com;01 64 13 72 00;01 64 13 79 00;;Seine-et-Marne;LIEUSAINT;77127;12 Trait d'Union;;reservation@clarionsenart-paris.com;48.6209361;2.5407173;48.6209361, 2.5407173
Office de tourisme;Espace d'information;Office de Tourisme du Pays de Meaux;moteur;Non;Non;Non;Oui;http://www.ville-meaux.fr;01 64 33 02 26;01 64 33 24 86;;Seine-et-Marne;MEAUX;77100;1 Place Paul Doumer;;tourisme@meaux.fr;48.9616615;2.8778049;48.9616615, 2.8778049
Lieu de visite;Patrimoine;Musée Aéronautique et Spatial;moteur;Non;Non;Non;Oui;http://www.museesafran.com;01 60 59 78 97;01 60 59 81 91;;Seine-et-Marne;RÉAU;77550;Rond-point René Ravaud;;pv@museesafran.com;48.613078;01/02/72;
Lieu de visite;Patrimoine;Musée de la Seine et Marne;"auditif ; moteur ; mental";Oui;Oui;Non;Oui;http://www.cg77.fr;01 60 24 46 00;01 60 24 46 14;;Seine-et-Marne;SAINT CYR SUR MORIN;77750;17 Avenue de la Ferté sous Jouarre;;mpsn@cg77.fr;48.9080938;3.1821737;48.9080938, 3.1821737
Restaurant;Restauration;Auberge de la Source;"auditif ; visuel ; moteur ; mental";Oui;Oui;Oui;Oui;http://www..aubergedelasource.fr;01 60 24 80 61;01 60 44 80 22;;Seine-et-Marne;SAINT OUEN EN BRIE;77750;8 place Saint Barthélémy;;contact@aubergedelasource.fr;48.9033103;3.195851;48.9033103, 3.195851
Loisirs;Loisirs;Base de Loisirs et de Plein Air;"auditif ; mental";Oui;Oui;Non;Non;http://vaires-torcy.ucpa.com;01 60 20 02 04;01 64 26 34 31;;Seine-et-Marne;TORCY;77200;Route de Lagny;;vaires-torcy.base@ucpa.asso.fr;48.8656188;2.6630773;48.8656188, 2.6630773
Lieu de visite;Patrimoine;Musée Départemental Stéphane Mallarmé;"auditif ; mental";Oui;Oui;Non;Non;http://www.Seine-et-Marne.fr;01 64 23 73 27;01 64 23 78 30;;Seine-et-Marne;VULAINES SUR SEINE;77870;4 Quai Stéphane Mallarmé;;mallarme@cg77.fr;48.4311767;2.7465921;48.4311767, 2.7465921
Chambre d'hôtes;Chambre d'hôtes;Chambres d'Hôtes Le Clos des Fontaines;"auditif ; visuel ; moteur ; mental";Oui;Oui;Oui;Oui;http://www.closdesfontaines.com;0164984056/0661920400;01 64 98 40 56;;Essonne;NAINVILLE LES ROCHES;91750;3 rue de l'Eglise;;soton@closdesfontaines.com;48.5052823;2.4932825;48.5052823, 2.4932825
Hôtel;Hôtel;Hôtel Ibis La Courneuve;mental;Oui;Non;Non;Non;http://www.ibishotel.com;01 48 38 33 33;01 48 38 58 84;;Seine-Saint-Denis;LA COURNEUVE;93120;104-110 avenue Jean Mermoz;;h3438@accor.com;48.932624;2.4106037;48.932624, 2.4106037
Lieu de visite;Patrimoine;Ecomusée du Val de Bièvre;"auditif ; mental";Oui;Oui;Non;Non;http://www.agglo-valdebievre.fr;01 41 24 32 24;01 46 68 10 33;;Val-de-Marne;FRESNES;94260;Ferme de Cottainville 41 rue Maurice Ténine;;ecomusee@agglo-valdebievre.fr;48.755253;2.3262289;48.755253, 2.3262289
Hôtel;Hôtel;Hôtel Ibis Porte d'Italie;mental;Oui;Non;Non;Non;http://www.ibishotel.com;01 49 69 94 94;01 45 46 41 52;;Val-de-Marne;GENTILLY;94250;13 rue du Val de Marne;;H0634@accor.com;48.8175079;2.3508515;48.8175079, 2.3508515
Palais des Congrès;Structure diverse;Centre de Congrès Les Esselières;mental;Oui;Non;Non;Non;http://www.semgest.fr;01 49 58 30 40;01 49 58 30 49;;Val-de-Marne;VILLEJUIF;94800;3 bd Chastenet de Géry;;evenementiel@semgest.fr;48.8017332;2.3559447;48.8017332, 2.3559447
Office de tourisme;Espace d'information;Office de Tourisme de L'Isle Adam;"moteur ; mental";Oui;Non;Non;Oui;http://www.tourisme-isle-adam.net;01 34 69 41 99;01 34 08 09 79;;Val-d'Oise;L'ISLE ADAM;95290;18 avenue des Ecuries de Conti;;o.t.isle-adam@wanadoo.fr;49.112288;2.217872;49.112288, 2.217872
Restaurant;Restauration;Restaurant Le Chiquito;"auditif ; moteur ; mental";Oui;Oui;Non;Oui;http://www.lechiquito.fr;01 30 36 40 23;01 30 36 42 22;;Val-d'Oise;MÉRY SUR OISE;95540;3 rue de l'Oise;;lechiquito@free.fr;49.0600776;2.1642113;49.0600776, 2.1642113
Hôtel;Hôtel;Suite Novotel Paris CDG Roissy Ville;"auditif ; visuel ; moteur ; mental";Oui;Oui;Oui;Oui;http://www.suite-hotel.com;01 34 38 54 54;01 34 38 54 44;;Val-d'Oise;ROISSY EN FRANCE;95700;7 allée des Vergers;;valerie.uguen@accor.com;49.0015763;2.5196968;49.0015763, 2.5196968
Hôtel;Hôtel;Hôtel Marriott Paris Charles de Gaulle Airport;"auditif ; mental";Oui;Oui;Non;Non;http://www.marriott.fr;01 34 38 53 53;01 34 38 53 54;;Val-d'Oise;ROISSY EN FRANCE;95700;Allée du Verger Zone hôtelière;;didier.lagaly@marriotthotels.com;49.00363;2.516978;49.00363, 2.516978
Hôtel;Hôtel;Suitehôtel Paris Nord II;"auditif ; visuel ; moteur ; mental";Oui;Oui;Oui;Oui;http://www.suite-hotel.com;01 48 63 88 88;01 48 63 86 87;;Val-d'Oise;ROISSY CHARLES DE GAULLE;95700;335 rue de la Belle Etoile;;valerie.uguen@accor.com;48.99694;2.5235873;48.99694, 2.5235873
Restaurant;Restauration;Restaurant Le Rohan;"auditif ; moteur ; mental";Oui;Oui;Non;Oui;http://www.lerohan.fr;01 30 39 25 80;;;Val-d'Oise;VIGNY;95450;1 place Amboise;;anaismedici@yahoo.fr;49.0770388;1.92736;49.0770388, 1.92736
